Suburb,Rooms,Price,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea
Abbotsford,2,1480000.0,2.5,3067.0,1.0,1.0,202.0,,,Yarra
Abbotsford,2,1035000.0,2.5,3067.0,1.0,0.0,156.0,79.0,1900.0,Yarra
Abbotsford,3,1465000.0,2.5,3067.0,2.0,0.0,134.0,150.0,1900.0,Yarra
Abbotsford,3,850000.0,2.5,3067.0,2.0,1.0,94.0,,,Yarra
Abbotsford,4,1600000.0,2.5,3067.0,1.0,2.0,120.0,142.0,2014.0,Yarra
Abbotsford,2,941000.0,2.5,3067.0,1.0,0.0,181.0,,,Yarra
Abbotsford,3,1876000.0,2.5,3067.0,2.0,0.0,245.0,210.0,1910.0,Yarra
Abbotsford,2,1636000.0,2.5,3067.0,1.0,2.0,256.0,107.0,1890.0,Yarra
Abbotsford,1,300000.0,2.5,3067.0,1.0,1.0,0.0,,,Yarra
Abbotsford,2,1097000.0,2.5,3067.0,1.0,2.0,220.0,75.0,1900.0,Yarra
Abbotsford,2,700000.0,2.5,3067.0,2.0,1.0,0.0,,,Yarra
Abbotsford,3,1350000.0,2.5,3067.0,2.0,2.0,214.0,190.0,2005.0,Yarra
Abbotsford,2,750000.0,2.5,3067.0,2.0,1.0,0.0,94.0,2009.0,Yarra
Abbotsford,2,1172500.0,2.5,3067.0,1.0,1.0,195.0,,,Yarra
Abbotsford,1,441000.0,2.5,3067.0,1.0,1.0,0.0,,,Yarra
Abbotsford,2,1310000.0,2.5,3067.0,1.0,2.0,238.0,97.0,1890.0,Yarra
Abbotsford,3,1200000.0,2.5,3067.0,2.0,1.0,113.0,110.0,1880.0,Yarra
Abbotsford,3,1176500.0,2.5,3067.0,1.0,1.0,138.0,105.0,1890.0,Yarra
Abbotsford,3,955000.0,2.5,3067.0,1.0,0.0,183.0,,,Yarra
Abbotsford,2,890000.0,2.5,3067.0,1.0,1.0,150.0,73.0,1985.0,Yarra
Abbotsford,4,1330000.0,2.5,3067.0,2.0,2.0,780.0,135.0,1900.0,Yarra
Abbotsford,3,900000.0,2.5,3067.0,2.0,2.0,0.0,,2010.0,Yarra
Abbotsford,3,1090000.0,2.5,3067.0,2.0,2.0,4290.0,27.0,,Yarra
